,userid,newsid,nickname,name,sex,head_url,region,autograph,integral,is_big_v,is_first_login,creator_id,news_title,news_subtitle,updated_year,updated_month,updated_day,updated_timestamp,label,useridReindex,newsidReindex
45,271,2514,1,0,2,1,1906,1,29633,1,0,241,1,1,2019,7,13,1000.0,1,27,170
46,170954,2514,1,0,2,1,113,0,0,0,0,241,1,1,2019,7,13,1000.0,1,217,170
47,170954,2514,1,0,2,1,113,0,0,0,0,241,1,1,2019,7,13,1000.0,1,217,170
48,170954,2514,1,0,2,1,113,0,0,0,0,241,1,1,2019,7,13,1000.0,1,217,170
49,226,2514,1,0,1,1,1906,1,3546,1,0,241,1,1,2019,7,13,1000.0,1,12,170
50,202,2514,1,0,1,1,120,1,168,1,0,241,1,1,2019,7,13,1000.0,1,5,170
51,202,2514,1,0,1,1,120,1,168,1,0,241,1,1,2019,7,13,1000.0,1,5,170
52,202,2514,1,0,1,1,120,1,168,1,0,241,1,1,2019,7,13,1000.0,1,5,170
53,202,2514,1,0,1,1,120,1,168,1,0,241,1,1,2019,7,13,1000.0,1,5,170
54,1822,2514,1,1,0,1,1890,1,4401,1,0,241,1,1,2019,7,13,1000.0,1,91,170
55,233,2514,1,0,1,1,1906,1,2424,1,0,241,1,1,2019,7,13,1000.0,1,16,170
56,10355,2514,1,1,1,1,1889,0,782,1,0,241,1,1,2019,7,13,1000.0,1,127,170
57,127180,2514,1,0,1,1,113,0,0,1,0,241,1,1,2019,7,13,1000.0,1,204,170
58,127180,2514,1,0,1,1,113,0,0,1,0,241,1,1,2019,7,13,1000.0,1,204,170
59,56407,2514,1,0,2,0,113,1,0,1,0,241,1,1,2019,7,13,1000.0,1,180,170
60,56407,2514,1,0,2,0,113,1,0,1,0,241,1,1,2019,7,13,1000.0,1,180,170
61,684,2514,1,1,0,1,3,1,4787,1,0,241,1,1,2019,7,13,1000.0,1,78,170
62,354,2514,1,0,1,0,1891,0,11627,1,0,241,1,1,2019,7,13,1000.0,1,43,170
63,280,2514,1,0,1,0,1891,0,5699,1,0,241,1,1,2019,7,13,1000.0,1,29,170
64,1499,2514,1,1,1,1,2992,1,320,0,0,241,1,1,2019,7,13,1000.0,1,90,170
